2025-12-16 17:14:35,997 | INFO | uvicorn.error | Application shutdown complete.
2025-12-16 17:14:35,998 | INFO | uvicorn.error | Finished server process [18048]
2025-12-16 17:14:38,911 | INFO | app | ✅ Logging initialized
2025-12-16 17:14:38,914 | INFO | root | ✅ Startup complete
2025-12-16 17:14:38,915 | INFO | uvicorn.error | Application startup complete.
2025-12-16 17:17:55,189 | INFO | uvicorn.error | Shutting down
2025-12-16 17:17:55,301 | INFO | uvicorn.error | Waiting for application shutdown.
2025-12-16 17:17:55,302 | INFO | uvicorn.error | Application shutdown complete.
2025-12-16 17:17:55,302 | INFO | uvicorn.error | Finished server process [17336]
2025-12-16 17:17:57,813 | INFO | app | ✅ Logging initialized
2025-12-16 17:17:57,817 | INFO | root | ✅ Startup complete
2025-12-16 17:17:57,818 | INFO | uvicorn.error | Application startup complete.
2025-12-16 17:18:26,003 | INFO | uvicorn.error | Shutting down
2025-12-16 17:18:26,113 | INFO | uvicorn.error | Waiting for application shutdown.
2025-12-16 17:18:26,113 | INFO | uvicorn.error | Application shutdown complete.
2025-12-16 17:18:26,114 | INFO | uvicorn.error | Finished server process [15456]
2025-12-16 17:18:28,675 | INFO | app | ✅ Logging initialized
2025-12-16 17:18:28,678 | INFO | root | ✅ Startup complete
2025-12-16 17:18:28,679 | INFO | uvicorn.error | Application startup complete.
2025-12-16 17:18:45,356 | INFO | uvicorn.error | Shutting down
2025-12-16 17:18:45,467 | INFO | uvicorn.error | Waiting for application shutdown.
2025-12-16 17:18:45,468 | INFO | uvicorn.error | Application shutdown complete.
2025-12-16 17:18:45,468 | INFO | uvicorn.error | Finished server process [12356]
2025-12-16 17:18:47,937 | INFO | app | ✅ Logging initialized
2025-12-16 17:18:47,941 | INFO | root | ✅ Startup complete
2025-12-16 17:18:47,941 | INFO | uvicorn.error | Application startup complete.
2025-12-16 17:19:21,172 | INFO | uvicorn.error | Shutting down
2025-12-16 17:19:21,282 | INFO | uvicorn.error | Waiting for application shutdown.
2025-12-16 17:19:21,283 | INFO | uvicorn.error | Application shutdown complete.
2025-12-16 17:19:21,284 | INFO | uvicorn.error | Finished server process [6756]
